"Frequently Occurring Surnames in the 2010 Census: Top 1,000 Surnames ",,,,,,,,,,
NUNEZ,242,"125,350",42.5,"25,162.9",5.3,0.7,0.8,0.3,0.2,92.7
WHEELER,243,"125,058",42.4,"25,205.3",81.0,13.3,0.5,0.9,2.0,2.4
VALDEZ,244,"124,995",42.4,"25,247.7",6.3,0.5,3.4,0.7,0.6,88.7
HARPER,245,"124,461",42.2,"25,289.9",67.9,26.2,0.5,0.7,2.4,2.3
BURKE,246,"122,877",41.7,"25,331.5",85.9,8.8,0.7,0.5,1.7,2.4
LARSON,247,"122,587",41.6,"25,373.1",94.8,0.5,0.7,0.6,1.4,2.0
SANTIAGO,248,"122,212",41.4,"25,414.5",5.4,1.3,4.5,0.1,0.6,88.1
MALDONADO,249,"121,526",41.2,"25,455.7",5.0,0.5,0.4,0.2,0.2,93.7
MORRISON,250,"121,130",41.1,"25,496.8",79.1,14.8,0.6,1.0,2.0,2.5
FRANKLIN,251,"120,621",40.9,"25,537.7",54.4,38.8,0.5,0.8,2.8,2.7
CARLSON,252,"120,552",40.9,"25,578.6",94.8,0.5,0.8,0.5,1.4,2.1
AUSTIN,253,"119,706",40.6,"25,619.1",67.5,26.0,0.6,0.8,2.3,2.8
DOMINGUEZ,254,"119,304",40.4,"25,659.6",5.0,0.4,1.0,0.3,0.2,93.1
CARR,255,"119,076",40.4,"25,699.9",73.6,20.8,0.5,0.6,2.1,2.4
LAWSON,256,"119,053",40.4,"25,740.3",73.8,20.7,0.4,0.7,2.2,2.2
JACOBS,257,"118,614",40.2,"25,780.5",74.3,16.7,0.6,3.8,2.2,2.5
OBRIEN,258,"118,557",40.2,"25,820.7",93.9,1.3,0.8,0.4,1.4,2.3
LYNCH,259,"117,708",39.9,"25,860.6",82.3,11.7,0.6,1.1,1.8,2.5
SINGH,260,"116,749",39.6,"25,900.2",4.3,4.5,82.8,1.2,4.8,2.5
VEGA,261,"116,673",39.6,"25,939.7",5.5,0.6,0.7,0.2,0.3,92.7
BISHOP,262,"116,618",39.5,"25,979.3",84.4,10.1,0.6,0.6,1.9,2.4
MONTGOMERY,263,"115,953",39.3,"26,018.6",67.9,26.2,0.6,0.6,2.4,2.4
OLIVER,264,"115,900",39.3,"26,057.9",64.2,27.5,0.7,0.7,2.4,4.5
JENSEN,265,"115,679",39.2,"26,097.1",94.0,0.4,0.7,0.8,1.4,2.6
HARVEY,266,"115,662",39.2,"26,136.3",68.0,25.0,0.5,1.7,2.3,2.5
WILLIAMSON,267,"114,959",39.0,"26,175.3",77.2,17.4,0.5,0.7,1.9,2.3
GILBERT,268,"114,940",39.0,"26,214.2",77.8,15.9,0.6,0.7,2.0,3.0
DEAN,269,"114,030",38.7,"26,252.9",76.6,16.8,1.1,0.7,2.2,2.6
SIMS,270,"113,374",38.4,"26,291.3",54.3,39.9,0.4,0.6,2.6,2.2
ESPINOZA,271,"112,154",38.0,"26,329.4",4.0,0.2,0.4,0.3,0.2,94.9
HOWELL,272,"112,041",38.0,"26,367.3",79.5,15.1,0.5,0.7,1.8,2.5
LI,273,"111,786",37.9,"26,405.2",1.5,0.2,96.8,0.0,0.9,0.6
WONG,274,"111,371",37.8,"26,443.0",3.5,0.8,86.5,0.0,5.2,4.0
REID,275,"111,360",37.8,"26,480.7",59.8,34.1,0.6,0.6,2.3,2.6
HANSON,276,"111,144",37.7,"26,518.4",92.1,2.9,0.7,0.7,1.6,2.1
LE,277,"110,967",37.6,"26,556.0",1.5,0.2,95.6,0.0,1.9,0.8
MCCOY,278,"110,744",37.5,"26,593.6",66.9,26.7,0.5,0.9,2.4,2.6
GARRETT,279,"110,697",37.5,"26,631.1",70.0,24.5,0.4,0.6,2.3,2.2
BURTON,280,"110,529",37.5,"26,668.6",67.3,27.1,0.5,0.5,2.3,2.3
FULLER,281,"110,116",37.3,"26,705.9",73.2,21.1,0.6,0.6,2.2,2.3
WANG,282,"109,883",37.3,"26,743.2",2.6,0.3,95.2,0.0,1.5,0.4
WEBER,283,"109,433",37.1,"26,780.3",94.3,1.3,0.6,0.4,1.3,2.2
WELCH,284,"108,987",37.0,"26,817.2",83.5,10.4,0.5,1.1,1.9,2.6
ROJAS,285,"108,421",36.8,"26,854.0",4.1,0.4,0.8,0.1,0.2,94.5
LUCAS,286,"107,690",36.5,"26,890.5",69.1,18.5,1.6,0.5,2.2,8.1
MARQUEZ,287,"107,533",36.5,"26,926.9",5.1,0.5,2.8,0.4,0.5,90.7
FIELDS,288,"107,522",36.5,"26,963.4",57.7,35.8,0.4,1.2,2.7,2.3
PARK,289,"106,696",36.2,"26,999.5",23.3,0.8,73.0,0.2,1.7,1.0
YANG,290,"106,033",36.0,"27,035.5",1.0,0.2,96.8,0.0,1.5,0.5
LITTLE,291,"105,936",35.9,"27,071.4",70.1,24.3,0.4,1.3,1.9,2.0
BANKS,292,"105,833",35.9,"27,107.3",39.3,54.5,0.4,0.4,3.0,2.5
PADILLA,293,"105,365",35.7,"27,143.0",6.2,0.4,2.1,0.8,0.4,90.2
DAY,294,"105,091",35.6,"27,178.6",83.1,10.4,1.0,1.1,2.0,2.4
WALSH,295,"105,079",35.6,"27,214.2",94.5,1.1,0.7,0.2,1.4,2.2
BOWMAN,296,"105,007",35.6,"27,249.8",80.8,13.6,0.5,0.8,2.1,2.2
SCHULTZ,297,"104,888",35.6,"27,285.4",94.8,0.7,0.6,0.4,1.3,2.2
LUNA,298,"104,518",35.4,"27,320.8",8.2,0.4,1.8,0.4,0.4,88.8
FOWLER,299,"104,515",35.4,"27,356.3",81.4,12.9,0.5,1.0,2.1,2.2
MEJIA,300,"104,057",35.3,"27,391.5",3.4,0.5,1.3,0.1,0.2,94.5
DAVIDSON,301,"103,930",35.2,"27,426.8",84.4,10.1,0.7,0.7,1.9,2.4
ACOSTA,302,"103,418",35.1,"27,461.8",7.0,0.6,2.3,0.3,0.4,89.5
BREWER,303,"103,318",35.0,"27,496.9",81.3,12.6,0.4,1.4,2.1,2.2
MAY,304,"103,306",35.0,"27,531.9",83.6,9.6,1.2,0.7,1.9,3.0
HOLLAND,305,"102,538",34.8,"27,566.6",76.8,17.7,0.5,0.6,2.2,2.4
JUAREZ,306,"101,949",34.6,"27,601.2",3.4,0.2,0.4,0.2,0.2,95.7
NEWMAN,307,"101,931",34.6,"27,635.8",83.0,11.1,0.6,0.7,2.0,2.6
PEARSON,308,"101,836",34.5,"27,670.3",72.1,22.5,0.6,0.4,2.1,2.2
CURTIS,309,"101,801",34.5,"27,704.8",77.9,15.8,0.5,1.0,2.1,2.6
CORTEZ,310,"101,694",34.5,"27,739.3",6.0,0.7,2.9,0.3,0.4,89.7
DOUGLAS,311,"101,458",34.4,"27,773.7",58.6,34.7,0.5,0.7,2.7,2.8
SCHNEIDER,312,"101,290",34.3,"27,808.0",95.4,0.4,0.6,0.3,1.2,2.2
JOSEPH,313,"100,959",34.2,"27,842.2",29.6,54.2,9.8,1.0,2.5,3.0
BARRETT,314,"100,104",33.9,"27,876.2",80.7,13.4,0.7,0.6,2.0,2.7
NAVARRO,315,"99,807",33.8,"27,910.0",6.7,0.4,4.0,0.2,0.6,88.1
FIGUEROA,316,"98,468",33.4,"27,943.4",4.9,0.8,1.0,0.2,0.3,92.8
KELLER,317,"98,268",33.3,"27,976.7",91.4,3.9,0.6,0.5,1.5,2.3
AVILA,318,"97,314",33.0,"28,009.7",7.0,0.4,1.1,0.2,0.3,91.0
WADE,319,"97,040",32.9,"28,042.6",64.9,29.1,0.5,0.7,2.4,2.3
MOLINA,320,"96,979",32.9,"28,075.5",5.8,0.5,2.3,0.6,0.4,90.3
STANLEY,321,"96,867",32.8,"28,108.3",78.8,15.1,0.7,1.2,2.0,2.3
HOPKINS,322,"96,810",32.8,"28,141.1",73.6,20.7,0.5,0.9,2.3,2.1
CAMPOS,323,"96,111",32.6,"28,173.7",7.1,0.4,1.4,0.2,0.4,90.5
BARNETT,324,"95,681",32.4,"28,206.1",76.4,17.5,0.4,0.9,2.2,2.6
BATES,325,"95,622",32.4,"28,238.6",75.4,18.9,0.6,0.8,2.0,2.4
CHAMBERS,326,"94,988",32.2,"28,270.8",65.7,28.5,0.5,0.6,2.3,2.5
CALDWELL,327,"93,944",31.9,"28,302.6",68.1,26.2,0.4,0.7,2.3,2.3
BECK,328,"93,786",31.8,"28,334.4",90.3,4.5,0.7,0.6,1.7,2.2
LAMBERT,329,"93,678",31.8,"28,366.2",83.7,9.9,0.6,1.3,1.8,2.8
MIRANDA,330,"93,628",31.7,"28,397.9",12.3,1.3,4.2,0.4,0.8,81.0
BYRD,331,"92,904",31.5,"28,429.4",59.0,34.6,0.4,1.3,2.6,2.1
CRAIG,332,"92,507",31.4,"28,460.7",79.0,15.2,0.6,0.8,2.1,2.4
AYALA,333,"92,463",31.4,"28,492.1",4.4,0.5,0.5,0.2,0.2,94.3
LOWE,334,"92,260",31.3,"28,523.4",73.0,19.4,1.7,1.0,2.4,2.6
FRAZIER,335,"92,152",31.2,"28,554.6",56.1,37.4,0.4,1.4,2.5,2.3
POWERS,336,"91,970",31.2,"28,585.8",89.6,5.2,0.7,0.6,1.7,2.4
NEAL,337,"91,694",31.1,"28,616.9",62.1,31.8,0.6,0.7,2.6,2.2
LEONARD,338,"91,475",31.0,"28,647.9",80.4,14.1,0.6,0.8,1.8,2.4
GREGORY,339,"91,384",31.0,"28,678.9",78.6,15.6,0.6,0.8,2.0,2.5
CARRILLO,340,"91,129",30.9,"28,709.8",5.1,0.2,0.7,0.4,0.2,93.3
SUTTON,341,"90,964",30.8,"28,740.6",72.8,21.7,0.5,0.7,2.2,2.1
FLEMING,342,"90,677",30.7,"28,771.3",71.7,22.8,0.6,0.5,2.2,2.2
RHODES,343,"90,670",30.7,"28,802.1",74.8,20.0,0.5,0.6,1.9,2.2
SHELTON,344,"90,517",30.7,"28,832.8",73.5,20.6,0.5,0.7,2.5,2.2
SCHWARTZ,345,"90,071",30.5,"28,863.3",95.9,0.4,0.6,0.2,1.0,1.9
NORRIS,346,"89,796",30.4,"28,893.7",79.9,14.4,0.5,0.9,2.0,2.2
JENNINGS,347,"89,700",30.4,"28,924.1",70.9,23.1,0.7,0.7,2.3,2.5
WATTS,348,"89,649",30.4,"28,954.5",68.6,25.5,0.5,0.8,2.4,2.3
DURAN,349,"89,401",30.3,"28,984.8",9.9,0.5,1.2,0.8,0.4,87.1
WALTERS,350,"89,376",30.3,"29,015.1",82.9,11.3,0.7,0.8,1.7,2.6
COHEN,351,"89,091",30.2,"29,045.3",88.9,6.0,0.7,0.1,1.1,3.3
MCDANIEL,352,"88,728",30.1,"29,075.4",76.2,18.4,0.4,0.6,2.1,2.4
MORAN,353,"88,615",30.0,"29,105.5",64.1,2.4,0.7,0.8,1.1,30.8
PARKS,354,"88,586",30.0,"29,135.5",69.4,24.9,0.6,0.7,2.4,2.1
STEELE,355,"88,230",29.9,"29,165.4",78.3,15.6,0.5,1.2,2.0,2.4
VAUGHN,356,"88,060",29.9,"29,195.3",71.5,22.7,0.4,0.8,2.3,2.3
BECKER,357,"87,859",29.8,"29,225.0",94.9,0.5,0.7,0.3,1.3,2.3
HOLT,358,"87,531",29.7,"29,254.7",79.4,14.9,0.6,0.9,2.2,2.1
DELEON,359,"87,414",29.6,"29,284.4",6.6,1.0,8.3,0.2,0.7,83.1
BARKER,360,"87,162",29.6,"29,313.9",86.5,7.8,0.7,0.7,1.9,2.4
TERRY,361,"87,000",29.5,"29,343.4",66.3,27.3,0.6,0.7,2.4,2.7
HALE,362,"86,618",29.4,"29,372.8",82.2,11.4,0.5,1.2,2.2,2.4
LEON,363,"86,363",29.3,"29,402.0",10.0,3.0,1.0,0.4,0.4,85.2
HAIL,364,"86,240",29.2,"29,431.3",73.1,21.6,0.4,0.5,2.1,2.3
BENSON,365,"86,081",29.2,"29,460.5",77.9,16.2,0.8,0.8,2.0,2.4
HAYNES,366,"85,974",29.2,"29,489.6",61.1,33.2,0.4,0.6,2.3,2.5
HORTON,367,"85,195",28.9,"29,518.5",70.0,24.3,0.5,0.7,2.3,2.2
MILES,368,"84,942",28.8,"29,547.3",61.3,32.4,0.5,0.8,2.6,2.4
LYONS,369,"84,516",28.7,"29,575.9",74.9,19.2,0.5,1.0,2.1,2.3
PHAM,370,"84,320",28.6,"29,604.5",0.9,0.2,96.3,0.0,1.8,0.7
GRAVES,371,"84,179",28.5,"29,633.1",69.6,24.2,0.5,0.7,2.4,2.6
BUSH,372,"84,018",28.5,"29,661.5",71.7,22.4,0.6,0.8,2.2,2.3
THORNTON,373,"83,967",28.5,"29,690.0",67.4,27.1,0.5,0.6,2.3,2.1
WOLFE,374,"83,928",28.5,"29,718.5",90.8,3.6,0.5,1.4,1.7,2.1
WARNER,375,"83,781",28.4,"29,746.9",84.2,10.2,0.7,0.6,1.9,2.4
CABRERA,376,"83,621",28.4,"29,775.2",4.5,0.4,3.5,0.1,0.5,91.0
MCKINNEY,377,"83,616",28.4,"29,803.5",68.8,25.2,0.4,0.9,2.4,2.3
MANN,378,"83,510",28.3,"29,831.9",80.4,9.9,3.6,1.3,2.1,2.7
ZIMMERMAN,379,"83,265",28.2,"29,860.1",93.8,2.3,0.5,0.3,1.2,1.9
DAWSON,380,"83,182",28.2,"29,888.3",68.3,25.9,0.6,0.6,2.3,2.3
LARA,381,"83,067",28.2,"29,916.4",5.7,0.4,1.1,0.3,0.2,92.3
FLETCHER,382,"83,063",28.2,"29,944.6",72.9,20.9,0.6,0.7,2.3,2.6
PAGE,383,"82,992",28.1,"29,972.7",75.1,18.9,0.7,0.7,2.0,2.6
MCCARTHY,384,"82,950",28.1,"30,000.9",92.3,3.3,0.7,0.3,1.3,2.2
LOVE,385,"82,873",28.1,"30,029.0",56.5,37.0,0.5,0.5,2.9,2.5
ROBLES,386,"82,458",28.0,"30,056.9",5.1,0.4,2.1,0.4,0.3,91.8
CERVANTES,387,"82,161",27.9,"30,084.8",3.3,0.2,0.9,0.2,0.1,95.3
SOLIS,388,"82,146",27.9,"30,112.6",5.1,0.4,1.6,0.2,0.2,92.4
ERICKSON,389,"82,085",27.8,"30,140.4",95.1,0.4,0.7,0.6,1.4,1.9
REEVES,390,"81,978",27.8,"30,168.2",77.3,16.5,0.6,0.8,2.1,2.7
CHANG,391,"81,939",27.8,"30,196.0",2.4,0.9,88.8,0.0,4.2,3.7
KLEIN,392,"81,471",27.6,"30,223.6",95.4,0.3,0.6,0.2,1.1,2.3
SALINAS,393,"81,156",27.5,"30,251.1",5.6,0.3,0.9,0.2,0.2,92.9
FUENTES,394,"81,006",27.5,"30,278.6",4.6,0.4,1.3,0.2,0.3,93.2
BALDWIN,395,"80,742",27.4,"30,306.0",76.9,17.3,0.5,0.9,2.0,2.4
DANIEL,396,"80,526",27.3,"30,333.3",62.8,25.6,3.2,0.7,2.2,5.6
SIMON,397,"80,460",27.3,"30,360.5",65.1,22.5,2.8,0.7,1.9,7.1
VELASQUEZ,398,"80,364",27.2,"30,387.8",4.8,0.7,1.7,0.4,0.2,92.2
HARDY,399,"80,252",27.2,"30,415.0",61.5,32.3,0.5,1.2,2.3,2.2
HIGGINS,400,"79,803",27.1,"30,442.1",83.9,10.8,0.6,0.6,1.9,2.3
AGUIRRE,401,"79,517",27.0,"30,469.0",5.1,0.3,1.3,0.2,0.3,92.9
LIN,402,"79,508",27.0,"30,496.0",1.7,0.2,95.9,0.0,1.8,0.5
CUMMINGS,403,"79,316",26.9,"30,522.9",72.5,19.7,0.7,2.3,2.3,2.5
CHANDLER,404,"79,186",26.8,"30,549.7",74.5,19.6,0.6,0.7,2.2,2.4
SHARP,405,"78,990",26.8,"30,576.5",83.6,10.6,0.6,1.0,1.9,2.3
BARBER,406,"78,848",26.7,"30,603.2",75.5,18.4,0.6,1.0,2.1,2.4
BOWEN,407,"78,822",26.7,"30,629.9",82.1,12.0,0.6,0.7,2.0,2.7
OCHOA,408,"78,677",26.7,"30,656.6",4.5,0.3,0.5,0.4,0.2,94.1
DENNIS,409,"78,482",26.6,"30,683.2",65.6,27.8,0.6,0.8,2.3,2.9
ROBBINS,410,"78,381",26.6,"30,709.8",87.6,7.2,0.5,0.9,1.7,2.1
LIU,411,"78,370",26.6,"30,736.3",1.8,0.2,95.6,0.0,1.9,0.5
RAMSEY,412,"78,350",26.6,"30,762.9",77.8,16.5,0.5,0.7,2.0,2.5
FRANCIS,413,"78,327",26.6,"30,789.5",59.5,30.3,2.0,2.1,2.4,3.8
GRIFFITH,414,"78,260",26.5,"30,816.0",83.9,10.4,0.6,0.7,1.9,2.6
PAUL,415,"78,256",26.5,"30,842.5",67.0,20.1,6.3,2.1,1.9,2.7
BLAIR,416,"78,026",26.5,"30,869.0",79.4,14.7,0.6,0.7,2.2,2.5
OCONNOR,417,"77,923",26.4,"30,895.4",92.8,2.1,0.8,0.3,1.4,2.6
CARDENAS,418,"77,652",26.3,"30,921.7",4.6,0.3,1.0,0.2,0.2,93.7
PACHECO,419,"77,642",26.3,"30,948.0",15.3,0.6,1.2,0.7,0.8,81.4
CROSS,420,"77,557",26.3,"30,974.3",75.5,18.3,0.6,0.9,2.3,2.5
CALDERON,421,"77,085",26.1,"31,000.5",5.0,0.6,1.5,0.2,0.3,92.6
QUINN,422,"76,986",26.1,"31,026.6",86.2,8.3,0.7,0.5,1.6,2.6
MOSS,423,"76,908",26.1,"31,052.6",69.7,24.7,0.5,0.7,2.1,2.3
SWANSON,424,"76,897",26.1,"31,078.7",90.4,4.8,0.7,0.5,1.5,2.1
CHAN,425,"76,664",26.0,"31,104.7",2.8,0.8,89.3,0.1,2.5,4.6
RIVAS,426,"76,205",25.8,"31,130.5",4.9,0.6,0.4,0.3,0.2,93.7
KHAN,427,"76,171",25.8,"31,156.3",6.9,3.9,81.3,0.5,5.3,2.2
RODGERS,428,"76,095",25.8,"31,182.1",70.2,23.8,0.5,0.6,2.2,2.7
SERRANO,429,"75,996",25.8,"31,207.9",5.6,0.7,2.9,0.1,0.3,90.3
FITZGERALD,430,"75,356",25.6,"31,233.4",86.3,8.8,0.7,0.3,1.7,2.2
ROSALES,431,"75,185",25.5,"31,258.9",3.6,0.3,2.4,0.2,0.3,93.2
STEVENSON,432,"75,169",25.5,"31,284.4",63.4,30.2,0.6,0.5,2.5,2.7
CHRISTENSEN,433,"75,143",25.5,"31,309.9",94.4,0.4,0.7,0.6,1.5,2.4
MANNING,434,"74,949",25.4,"31,335.3",73.9,20.3,0.6,0.8,2.0,2.4
GILL,435,"74,948",25.4,"31,360.7",65.2,14.0,13.4,0.6,2.1,4.7
CURRY,436,"74,919",25.4,"31,386.1",59.2,34.9,0.5,0.5,2.4,2.5
MCLAUGHLIN,437,"74,816",25.4,"31,411.5",88.0,7.1,0.6,0.5,1.4,2.4
HARMON,438,"74,737",25.3,"31,436.8",77.3,17.0,0.5,0.7,2.1,2.3
MCGEE,439,"74,542",25.3,"31,462.1",62.3,31.5,0.5,0.7,2.7,2.3
GROSS,440,"74,503",25.3,"31,487.3",84.9,10.3,0.5,0.3,1.5,2.5
DOYLE,441,"74,458",25.2,"31,512.6",89.1,5.7,0.7,0.5,1.7,2.4
GARNER,442,"74,324",25.2,"31,537.8",71.7,22.8,0.5,0.5,2.1,2.3
NEWTON,443,"74,092",25.1,"31,562.9",75.7,18.4,0.6,0.7,2.1,2.6
BURGESS,444,"73,931",25.1,"31,588.0",75.4,18.7,0.6,1.0,2.2,2.2
REESE,445,"73,919",25.1,"31,613.0",66.1,28.2,0.4,0.6,2.1,2.6
WALTON,446,"73,854",25.0,"31,638.0",60.4,34.2,0.4,0.5,2.4,2.1
BLAKE,447,"73,797",25.0,"31,663.1",71.2,22.6,0.6,0.8,2.1,2.7
TRUJILLO,448,"73,664",25.0,"31,688.0",8.4,0.2,0.3,1.6,0.4,89.1
ADKINS,449,"73,599",25.0,"31,713.0",87.2,8.0,0.4,0.8,1.8,1.7
BRADY,450,"73,145",24.8,"31,737.8",87.3,6.9,0.6,1.0,1.7,2.7
GOODMAN,451,"73,136",24.8,"31,762.6",78.3,15.8,0.6,1.0,1.8,2.4
ROMAN,452,"72,918",24.7,"31,787.3",20.8,1.9,1.0,0.2,0.5,75.7
WEBSTER,453,"72,625",24.6,"31,811.9",73.5,19.8,0.6,1.4,2.3,2.5
GOODWIN,454,"72,451",24.6,"31,836.5",77.0,17.2,0.5,0.9,2.1,2.3
FISCHER,455,"72,357",24.5,"31,861.0",94.3,0.9,0.6,0.4,1.2,2.6
HUANG,456,"72,328",24.5,"31,885.5",0.9,0.1,97.1,0.0,1.4,0.4
POTTER,457,"72,175",24.5,"31,910.0",89.1,5.1,0.6,0.8,2.0,2.5
DELACRUZ,458,"72,109",24.5,"31,934.4",3.9,0.4,16.8,0.2,1.5,77.2
MONTOYA,459,"71,844",24.4,"31,958.8",8.7,0.3,0.9,1.4,0.4,88.4
TODD,460,"71,759",24.3,"31,983.1",80.8,13.6,0.5,0.7,2.1,2.3
WU,461,"71,721",24.3,"32,007.4",1.4,0.2,96.4,0.0,1.6,0.5
HINES,462,"71,717",24.3,"32,031.8",57.7,36.7,0.5,0.5,2.3,2.3
MULLINS,463,"71,646",24.3,"32,056.0",88.8,6.9,0.4,0.5,1.8,1.7
CASTANEDA,464,"71,368",24.2,"32,080.2",4.1,0.2,1.8,0.2,0.3,93.4
MALONE,465,"71,286",24.2,"32,104.4",67.3,26.8,0.6,0.7,2.2,2.5
CANNON,466,"71,085",24.1,"32,128.5",69.8,24.5,0.5,0.5,2.3,2.4
TATE,467,"71,058",24.1,"32,152.6",55.6,38.3,0.6,0.8,2.5,2.1
MACK,468,"71,056",24.1,"32,176.7",44.8,49.1,0.7,0.5,2.6,2.4
SHERMAN,469,"70,502",23.9,"32,200.6",82.7,11.6,0.6,1.0,1.8,2.3
HUBBARD,470,"70,362",23.9,"32,224.4",71.1,23.2,0.5,0.9,2.3,2.2
HODGES,471,"70,223",23.8,"32,248.2",73.4,20.9,0.5,0.6,2.1,2.6
ZHANG,472,"70,125",23.8,"32,272.0",1.0,0.2,98.1,0.0,0.6,0.2
GUERRA,473,"70,071",23.8,"32,295.8",11.3,0.8,0.6,0.5,0.3,86.6
WOLF,474,"70,031",23.7,"32,319.5",93.7,1.1,0.6,1.1,1.5,2.2
VALENCIA,475,"70,000",23.7,"32,343.2",5.3,0.5,3.3,1.2,0.5,89.2
SAUNDERS,476,"69,943",23.7,"32,366.9",67.4,26.1,0.6,0.7,2.6,2.6
FRANCO,476,"69,943",23.7,"32,390.7",15.8,0.6,1.7,0.3,0.5,81.0
ROWE,478,"69,879",23.7,"32,414.3",79.3,15.1,0.6,0.6,2.0,2.5
GALLAGHER,479,"69,834",23.7,"32,438.0",94.6,0.7,0.6,0.3,1.3,2.5
FARMER,480,"69,617",23.6,"32,461.6",77.2,17.5,0.5,1.1,1.8,2.1
HAMMOND,481,"69,515",23.6,"32,485.2",78.2,16.1,0.6,0.7,2.2,2.2
HAMPTON,482,"69,472",23.6,"32,508.7",53.7,40.3,0.4,0.7,2.7,2.2
TOWNSEND,483,"69,360",23.5,"32,532.3",67.7,26.4,0.5,0.8,2.3,2.4
INGRAM,484,"69,345",23.5,"32,555.8",61.5,33.0,0.4,0.5,2.3,2.4
WISE,485,"68,649",23.3,"32,579.0",78.6,15.6,0.6,0.7,2.1,2.4
GALLEGOS,486,"68,373",23.2,"32,602.2",7.7,0.2,0.5,0.5,0.3,90.9
CLARKE,487,"68,281",23.2,"32,625.4",61.0,32.1,0.6,0.4,2.3,3.6
BARTON,488,"68,233",23.1,"32,648.5",85.1,8.0,0.6,1.3,1.9,3.1
SCHROEDER,489,"67,977",23.0,"32,671.5",95.4,0.3,0.6,0.5,1.1,2.1
MAXWELL,490,"67,961",23.0,"32,694.6",73.2,20.6,0.6,0.6,2.2,2.7
WATERS,491,"67,929",23.0,"32,717.6",73.4,20.7,0.6,0.9,2.1,2.4
LOGAN,492,"67,909",23.0,"32,740.6",64.8,27.3,0.7,1.1,2.9,3.2
CAMACHO,493,"67,893",23.0,"32,763.6",6.1,0.6,2.9,0.2,0.7,89.6
STRICKLAND,494,"67,769",23.0,"32,786.6",76.2,17.2,0.5,2.2,2.0,2.0
