"Frequently Occurring Surnames in the 2010 Census: Top 1,000 Surnames ",,,,,,,,,,
HURST,749,"46,244",15.7,"37,576.4",84.5,10.5,0.5,0.5,1.8,2.2
WOODARD,750,"46,240",15.7,"37,592.1",59.9,34.6,0.5,0.6,2.2,2.2
CORTES,751,"46,229",15.7,"37,607.8",4.8,0.4,2.1,0.1,0.2,92.4
SHANNON,752,"46,147",15.6,"37,623.4",75.2,19.5,0.5,0.4,2.0,2.4
KEMP,753,"46,146",15.6,"37,639.1",71.7,22.8,0.5,0.7,2.2,2.1
NOLAN,754,"46,054",15.6,"37,654.7",86.9,7.4,0.6,0.6,1.7,2.9
MCCULLOUGH,755,"45,852",15.5,"37,670.2",73.3,21.2,0.5,0.5,2.0,2.6
MERRITT,756,"45,594",15.5,"37,685.7",75.1,19.7,0.5,0.7,2.0,2.1
MURILLO,757,"45,558",15.4,"37,701.1",4.4,0.4,0.9,0.3,0.2,93.8
MOON,758,"45,528",15.4,"37,716.5",65.7,10.0,19.1,1.0,2.2,2.0
SALGADO,759,"45,469",15.4,"37,732.0",4.1,0.3,1.2,0.3,0.2,93.9
STRONG,760,"45,432",15.4,"37,747.4",66.8,25.8,0.8,1.5,2.5,2.6
KLINE,761,"45,390",15.4,"37,762.7",94.2,1.6,0.5,0.3,1.3,2.0
CORDOVA,762,"45,305",15.4,"37,778.1",10.3,0.6,1.3,0.8,0.5,86.5
BARAJAS,763,"45,153",15.3,"37,793.4",3.1,0.1,0.1,0.2,0.1,96.5
ROACH,764,"45,019",15.3,"37,808.7",80.3,14.0,0.5,0.8,1.8,2.7
ROSAS,765,"44,938",15.2,"37,823.9",3.9,0.3,0.5,0.2,0.1,95.1
WINTERS,766,"44,914",15.2,"37,839.1",79.1,15.1,0.5,0.8,2.1,2.4
JACOBSON,767,"44,808",15.2,"37,854.3",94.7,0.4,0.8,0.5,1.5,2.2
LESTER,768,"44,784",15.2,"37,869.5",75.8,18.6,0.4,1.2,1.8,2.2
KNOX,769,"44,742",15.2,"37,884.7",63.4,30.6,0.5,0.7,2.5,2.3
BULLOCK,770,"44,740",15.2,"37,899.8",61.6,33.0,0.5,0.6,2.2,2.2
KERR,771,"44,711",15.2,"37,915.0",86.9,7.5,0.8,0.6,1.8,2.4
LEACH,772,"44,581",15.1,"37,930.1",80.3,13.8,0.6,0.9,2.0,2.4
MEADOWS,773,"44,500",15.1,"37,945.2",81.2,14.2,0.4,0.5,1.8,1.9
ORR,774,"44,388",15.1,"37,960.2",79.4,15.0,0.7,0.8,2.0,2.2
DAVILA,774,"44,388",15.1,"37,975.3",6.6,0.7,0.3,0.2,0.2,92.0
WHITEHEAD,776,"44,373",15.0,"37,990.3",70.5,24.0,0.4,0.7,2.2,2.1
PRUITT,777,"44,365",15.0,"38,005.4",73.2,21.5,0.3,0.7,2.3,2.0
KENT,778,"44,325",15.0,"38,020.4",83.9,10.4,0.8,0.7,1.9,2.3
CONWAY,779,"44,320",15.0,"38,035.4",81.8,12.5,0.6,0.7,1.9,2.5
MCKEE,780,"44,137",15.0,"38,050.4",87.4,6.8,0.6,0.8,1.9,2.4
BARR,781,"44,130",15.0,"38,065.4",82.7,11.7,0.6,1.0,1.7,2.3
DAVID,782,"44,040",14.9,"38,080.3",59.5,14.9,13.9,1.7,2.5,7.6
DEJESUS,783,"44,038",14.9,"38,095.2",5.9,1.6,7.7,0.2,0.7,83.9
MARIN,784,"43,904",14.9,"38,110.1",11.1,1.1,0.8,0.2,0.3,86.6
BERGER,785,"43,851",14.9,"38,125.0",92.3,2.5,0.7,0.3,1.4,2.8
MCINTYRE,786,"43,842",14.9,"38,139.8",78.5,16.3,0.5,0.4,1.9,2.3
BLANKENSHIP,787,"43,830",14.9,"38,154.7",93.7,2.0,0.4,0.8,1.5,1.6
GAINES,788,"43,821",14.9,"38,169.5",42.9,50.7,0.3,0.6,3.1,2.4
PALACIOS,789,"43,798",14.9,"38,184.4",4.3,0.4,0.9,0.2,0.2,94.1
CUEVAS,790,"43,701",14.8,"38,199.2",7.4,0.3,1.7,0.2,0.2,90.2
BARTLETT,791,"43,648",14.8,"38,214.0",90.6,3.7,0.7,0.7,1.8,2.6
DURHAM,792,"43,635",14.8,"38,228.8",73.0,21.5,0.4,0.6,2.2,2.2
DORSEY,793,"43,631",14.8,"38,243.6",41.8,52.2,0.4,0.5,3.2,2.0
MCCALL,794,"43,483",14.7,"38,258.3",66.5,28.2,0.5,0.6,2.1,2.2
ODONNELL,795,"43,460",14.7,"38,273.1",95.1,0.5,0.6,0.3,1.2,2.4
STEIN,796,"43,389",14.7,"38,287.8",94.4,1.0,0.7,0.4,1.2,2.4
BROWNING,797,"43,329",14.7,"38,302.5",87.5,7.3,0.4,0.7,1.8,2.3
STOUT,798,"43,305",14.7,"38,317.1",92.1,2.3,0.7,0.9,1.7,2.4
LOWERY,799,"43,278",14.7,"38,331.8",68.0,23.0,0.4,4.5,2.2,2.1
SLOAN,800,"43,261",14.7,"38,346.5",79.4,13.9,0.6,1.8,2.1,2.3
MCLEAN,801,"43,260",14.7,"38,361.1",67.0,26.9,0.7,0.7,2.1,2.6
HENDRICKS,802,"43,197",14.6,"38,375.8",75.7,17.4,0.6,1.4,2.2,2.8
CALHOUN,803,"43,180",14.6,"38,390.4",61.7,33.0,0.5,0.5,2.3,2.1
SEXTON,804,"43,133",14.6,"38,405.0",91.4,3.6,0.5,0.7,1.6,2.1
CHUNG,805,"43,110",14.6,"38,419.7",2.3,2.3,90.0,0.0,4.0,1.4
GENTRY,806,"43,027",14.6,"38,434.2",82.1,12.2,0.4,0.7,2.1,2.5
HULL,807,"43,018",14.6,"38,448.8",85.5,8.6,0.6,0.7,1.9,2.6
DUARTE,808,"42,983",14.6,"38,463.4",16.2,1.7,0.9,0.3,1.0,80.0
ELLISON,809,"42,827",14.5,"38,477.9",65.8,28.3,0.6,0.6,2.3,2.4
NIELSEN,810,"42,773",14.5,"38,492.4",94.2,0.4,0.9,0.4,1.5,2.7
GILLESPIE,811,"42,693",14.5,"38,506.9",81.2,13.8,0.5,0.5,1.7,2.3
BUCK,812,"42,639",14.5,"38,521.3",88.1,5.7,0.8,1.4,1.9,2.1
MIDDLETON,813,"42,578",14.4,"38,535.8",66.7,28.2,0.5,0.5,2.1,2.1
SELLERS,814,"42,577",14.4,"38,550.2",76.5,17.8,0.5,1.0,2.0,2.1
LEBLANC,815,"42,575",14.4,"38,564.6",86.2,8.8,0.5,0.7,1.4,2.5
ESPARZA,816,"42,559",14.4,"38,579.1",5.1,0.1,0.2,0.2,0.2,94.2
HARDIN,817,"42,469",14.4,"38,593.5",77.7,16.0,0.6,1.4,2.2,2.2
BRADSHAW,818,"42,465",14.4,"38,607.9",78.1,16.4,0.5,0.6,2.2,2.3
MCINTOSH,819,"42,379",14.4,"38,622.2",69.8,23.8,0.6,1.1,2.5,2.3
HOWE,820,"42,265",14.3,"38,636.6",90.6,3.2,1.0,1.3,1.8,2.1
LIVINGSTON,821,"42,103",14.3,"38,650.8",72.1,20.9,0.5,1.9,2.0,2.5
FROST,822,"42,015",14.2,"38,665.1",86.5,7.7,0.7,0.9,2.0,2.2
GLASS,823,"41,802",14.2,"38,679.3",77.0,17.4,0.4,1.1,1.9,2.3
MORSE,824,"41,774",14.2,"38,693.4",90.5,4.3,0.7,0.6,1.8,2.1
KNAPP,825,"41,771",14.2,"38,707.6",94.7,0.6,0.6,0.4,1.4,2.3
HERMAN,826,"41,750",14.2,"38,721.7",90.5,3.4,0.9,1.0,1.3,2.9
STARK,827,"41,735",14.2,"38,735.9",92.5,2.3,0.6,0.7,1.5,2.5
BRAVO,828,"41,700",14.1,"38,750.0",6.2,0.7,1.9,0.3,0.4,90.6
NOBLE,829,"41,667",14.1,"38,764.1",77.7,14.4,1.7,0.7,2.1,3.4
SPEARS,830,"41,665",14.1,"38,778.3",67.0,26.3,0.5,1.6,2.5,2.2
WEEKS,831,"41,565",14.1,"38,792.4",84.4,10.0,0.6,0.8,1.8,2.5
CORONA,832,"41,553",14.1,"38,806.4",8.6,0.3,0.4,0.2,0.3,90.3
FREDERICK,833,"41,394",14.0,"38,820.5",80.1,14.1,0.6,0.8,1.9,2.4
BUCKLEY,834,"41,348",14.0,"38,834.5",83.2,11.5,0.6,0.7,1.7,2.4
MCFARLAND,835,"41,300",14.0,"38,848.5",78.9,15.6,0.6,0.6,2.1,2.2
HEBERT,836,"41,275",14.0,"38,862.5",90.4,4.9,0.5,0.6,1.4,2.4
ENRIQUEZ,837,"41,271",14.0,"38,876.5",4.0,0.6,7.9,0.4,0.6,86.5
HICKMAN,838,"41,163",14.0,"38,890.4",75.2,18.7,0.5,1.3,2.2,2.3
QUINTERO,839,"41,158",14.0,"38,904.4",4.2,0.4,0.4,0.8,0.2,94.1
RANDOLPH,840,"41,129",13.9,"38,918.3",55.9,37.7,0.5,0.7,2.9,2.4
SCHAEFER,841,"41,063",13.9,"38,932.2",95.1,0.5,0.7,0.4,1.3,2.2
WALLS,842,"41,025",13.9,"38,946.2",68.7,25.4,0.4,0.8,2.4,2.4
TREJO,843,"41,021",13.9,"38,960.1",4.0,0.4,0.1,0.3,0.2,95.1
HOUSE,844,"41,000",13.9,"38,974.0",75.1,18.7,0.4,1.5,2.3,2.1
REILLY,845,"40,884",13.9,"38,987.8",95.3,0.4,0.7,0.1,1.2,2.3
PENNINGTON,846,"40,854",13.9,"39,001.7",87.9,7.2,0.4,0.5,1.8,2.2
MICHAEL,847,"40,736",13.8,"39,015.5",83.6,8.9,2.0,0.7,1.9,3.1
CONRAD,848,"40,707",13.8,"39,029.3",92.0,3.1,0.6,0.6,1.5,2.2
GILES,849,"40,598",13.8,"39,043.0",64.9,26.2,0.4,0.5,2.3,5.7
BENJAMIN,850,"40,590",13.8,"39,056.8",49.0,41.6,2.5,0.9,2.6,3.4
CROSBY,851,"40,563",13.8,"39,070.6",70.0,24.0,0.5,0.7,2.2,2.5
FITZPATRICK,852,"40,449",13.7,"39,084.3",85.6,9.4,0.6,0.4,1.7,2.3
DONOVAN,853,"40,410",13.7,"39,098.0",92.9,2.0,0.7,0.3,1.3,2.8
MAYS,854,"40,408",13.7,"39,111.7",54.8,39.7,0.4,0.6,2.7,2.0
MAHONEY,855,"40,397",13.7,"39,125.4",91.1,4.3,0.6,0.2,1.5,2.3
VALENTINE,856,"40,395",13.7,"39,139.1",66.1,23.3,0.7,0.5,2.1,7.4
RAYMOND,857,"40,275",13.7,"39,152.7",79.1,13.6,1.1,0.9,2.1,3.3
MEDRANO,858,"40,261",13.7,"39,166.4",4.3,0.3,1.9,0.2,0.3,93.0
HAHN,859,"40,250",13.7,"39,180.0",90.2,0.5,5.7,0.3,1.3,2.0
MCMILLAN,860,"40,237",13.6,"39,193.6",68.0,25.6,0.6,1.3,2.4,2.2
SMALL,861,"40,212",13.6,"39,207.3",62.7,30.8,0.6,1.4,1.9,2.6
BENTLEY,862,"40,193",13.6,"39,220.9",82.5,12.4,0.5,0.5,1.9,2.3
FELIX,863,"40,165",13.6,"39,234.5",17.5,11.6,2.8,0.9,1.0,66.3
PECK,864,"40,055",13.6,"39,248.1",90.7,3.6,0.9,0.5,1.7,2.6
LUCERO,865,"39,986",13.6,"39,261.6",11.1,0.2,2.7,2.9,0.7,82.4
BOYLE,866,"39,921",13.5,"39,275.2",93.5,2.0,0.6,0.3,1.3,2.3
HANNA,867,"39,890",13.5,"39,288.7",87.1,6.4,1.0,0.6,2.2,2.7
PACE,868,"39,879",13.5,"39,302.2",78.3,16.5,0.7,0.5,1.7,2.4
RUSH,869,"39,802",13.5,"39,315.7",74.0,20.8,0.5,0.7,1.9,2.2
HURLEY,870,"39,796",13.5,"39,329.2",90.7,4.6,0.7,0.6,1.5,1.9
HARDING,871,"39,787",13.5,"39,342.7",80.1,13.6,0.6,0.9,2.2,2.5
MCCONNELL,872,"39,754",13.5,"39,356.2",88.8,6.0,0.6,0.8,1.8,2.1
BERNAL,873,"39,693",13.5,"39,369.6",8.0,0.4,2.4,0.3,0.4,88.5
NAVA,874,"39,670",13.5,"39,383.1",4.5,0.3,1.1,0.2,0.2,93.8
AYERS,875,"39,623",13.4,"39,396.5",83.0,11.7,0.6,0.6,2.1,2.1
EVERETT,876,"39,593",13.4,"39,409.9",68.9,24.6,0.5,0.7,2.1,3.2
VENTURA,877,"39,580",13.4,"39,423.4",18.8,0.8,4.6,0.3,1.0,74.5
AVERY,878,"39,564",13.4,"39,436.8",71.1,22.9,0.5,0.8,2.4,2.3
PUGH,879,"39,559",13.4,"39,450.2",67.2,28.1,0.5,0.4,2.0,1.8
MAYER,880,"39,555",13.4,"39,463.6",93.1,1.3,0.9,0.4,1.3,3.0
BENDER,881,"39,551",13.4,"39,477.0",88.5,6.5,0.7,0.6,1.6,2.1
SHEPARD,882,"39,430",13.4,"39,490.4",76.7,17.1,0.6,0.9,2.2,2.6
MCMAHON,883,"39,411",13.4,"39,503.7",93.2,2.3,0.7,0.2,1.3,2.3
LANDRY,884,"39,391",13.4,"39,517.1",83.0,12.6,0.5,0.4,1.5,2.1
CASE,885,"39,319",13.3,"39,530.4",92.3,2.1,0.7,1.0,1.7,2.2
SAMPSON,886,"39,277",13.3,"39,543.7",60.2,30.0,0.7,3.9,2.4,2.8
MOSES,887,"39,216",13.3,"39,557.0",55.1,34.5,2.0,3.2,2.7,2.6
MAGANA,888,"39,105",13.3,"39,570.3",3.8,0.4,0.6,0.2,0.2,94.9
BLACKBURN,889,"39,097",13.3,"39,583.5",87.4,7.3,0.5,0.9,1.7,2.1
DUNLAP,890,"39,063",13.2,"39,596.8",75.0,19.5,0.5,0.7,2.1,2.2
GOULD,891,"38,924",13.2,"39,610.0",86.8,7.2,0.7,1.4,1.8,2.1
DUFFY,892,"38,835",13.2,"39,623.1",90.7,4.3,0.7,0.5,1.6,2.3
VAUGHAN,893,"38,830",13.2,"39,636.3",82.0,12.9,0.5,0.5,1.7,2.4
HERRING,894,"38,733",13.1,"39,649.4",72.7,22.1,0.4,0.5,2.2,2.2
MCKAY,895,"38,681",13.1,"39,662.5",80.0,13.6,0.7,1.2,2.1,2.4
ESPINOSA,896,"38,667",13.1,"39,675.6",7.7,0.4,3.5,0.3,0.4,87.7
RIVERS,897,"38,662",13.1,"39,688.7",40.5,50.9,0.6,2.0,2.6,3.4
FARLEY,898,"38,528",13.1,"39,701.8",83.7,10.9,0.6,0.8,1.6,2.5
BERNARD,899,"38,512",13.1,"39,714.9",62.8,25.8,1.1,0.7,2.2,7.4
ASHLEY,900,"38,499",13.1,"39,727.9",71.8,20.6,0.7,2.4,2.3,2.3
FRIEDMAN,901,"38,374",13.0,"39,740.9",96.1,0.4,0.6,0.1,0.9,1.9
POTTS,902,"38,277",13.0,"39,753.9",79.6,14.3,0.6,1.3,2.0,2.3
TRUONG,903,"38,267",13.0,"39,766.9",0.8,0.1,96.9,0.0,1.6,0.6
COSTA,904,"38,265",13.0,"39,779.8",83.2,2.3,1.8,0.4,2.1,10.3
CORREA,905,"38,232",13.0,"39,792.8",10.4,1.0,1.7,0.3,1.2,85.4
BLEVINS,906,"38,229",13.0,"39,805.8",89.5,5.2,0.4,1.2,2.1,1.7
NIXON,907,"38,147",12.9,"39,818.7",62.0,31.6,0.6,0.7,2.5,2.6
CLEMENTS,908,"38,044",12.9,"39,831.6",84.9,9.9,0.5,0.6,1.9,2.3
FRY,909,"38,029",12.9,"39,844.5",91.1,3.1,0.6,1.1,1.8,2.3
DELAROSA,910,"37,932",12.9,"39,857.3",5.2,0.6,4.6,0.3,0.5,88.9
BEST,911,"37,923",12.9,"39,870.2",71.8,22.5,0.5,0.6,1.8,2.8
BENTON,912,"37,912",12.9,"39,883.1",69.0,25.0,0.6,0.9,2.2,2.4
LUGO,913,"37,903",12.9,"39,895.9",6.9,1.0,0.4,0.3,0.2,91.2
PORTILLO,914,"37,890",12.8,"39,908.8",4.1,0.5,0.4,0.2,0.1,94.8
DOUGHERTY,915,"37,884",12.8,"39,921.6",94.4,1.1,0.6,0.3,1.3,2.3
CRANE,916,"37,870",12.8,"39,934.4",90.1,4.3,0.6,0.6,1.8,2.6
HALEY,917,"37,858",12.8,"39,947.3",81.3,13.2,0.5,0.7,2.0,2.2
PHAN,918,"37,836",12.8,"39,960.1",1.3,0.2,95.8,0.0,2.0,0.7
VILLALOBOS,919,"37,754",12.8,"39,972.9",3.9,0.2,0.7,0.2,0.2,94.8
BLANCHARD,920,"37,695",12.8,"39,985.7",84.9,9.3,0.5,0.8,1.9,2.7
HORNE,921,"37,689",12.8,"39,998.4",70.9,24.0,0.6,0.6,1.9,2.0
FINLEY,922,"37,672",12.8,"40,011.2",72.3,21.4,0.5,1.2,2.2,2.4
QUINTANA,923,"37,657",12.8,"40,024.0",8.2,0.3,1.1,1.1,0.3,89.1
LYNN,924,"37,644",12.8,"40,036.7",84.6,9.0,1.4,0.7,1.8,2.5
ESQUIVEL,925,"37,578",12.7,"40,049.5",4.1,0.2,0.7,0.2,0.2,94.7
BEAN,926,"37,571",12.7,"40,062.2",80.8,13.4,0.6,0.9,1.8,2.5
DODSON,927,"37,566",12.7,"40,075.0",81.4,12.3,0.5,1.4,2.2,2.2
MULLEN,928,"37,502",12.7,"40,087.7",87.6,6.9,0.7,0.6,1.9,2.3
XIONG,929,"37,499",12.7,"40,100.4",0.3,0.1,98.1,0.0,1.1,0.4
HAYDEN,930,"37,451",12.7,"40,113.1",80.6,14.1,0.7,0.4,2.0,2.3
CANO,931,"37,368",12.7,"40,125.7",6.6,0.4,1.2,0.2,0.3,91.3
LEVY,932,"37,228",12.6,"40,138.4",79.2,13.0,0.9,0.3,1.7,5.1
HUBER,933,"37,170",12.6,"40,151.0",95.2,0.4,0.6,0.3,1.4,2.1
RICHMOND,934,"37,053",12.6,"40,163.5",71.7,22.8,0.5,0.5,2.2,2.2
MOYER,935,"37,050",12.6,"40,176.1",93.4,2.4,0.5,0.3,1.4,1.9
LIM,936,"37,021",12.6,"40,188.6",2.9,0.2,92.2,0.0,3.0,1.6
FRYE,937,"36,973",12.5,"40,201.2",83.0,11.8,0.5,1.0,1.9,1.8
SHEPPARD,938,"36,960",12.5,"40,213.7",67.4,26.8,0.5,0.8,2.0,2.6
MCCARTY,939,"36,944",12.5,"40,226.2",88.1,6.4,0.5,0.8,1.7,2.4
AVALOS,940,"36,922",12.5,"40,238.7",3.5,0.2,0.2,0.2,0.1,95.8
BOOKER,941,"36,840",12.5,"40,251.2",28.0,65.2,0.3,0.4,3.8,2.3
WALLER,942,"36,805",12.5,"40,263.7",69.6,25.2,0.5,0.5,2.1,2.2
PARRA,943,"36,765",12.5,"40,276.2",6.5,0.3,0.4,0.4,0.2,92.3
WOODWARD,944,"36,764",12.5,"40,288.6",89.7,4.8,0.6,0.7,1.8,2.4
JARAMILLO,945,"36,755",12.5,"40,301.1",7.5,0.3,1.0,0.7,0.3,90.3
KRUEGER,946,"36,743",12.5,"40,313.6",96.0,0.2,0.6,0.4,1.1,1.7
RASMUSSEN,947,"36,636",12.4,"40,326.0",94.6,0.3,0.8,0.4,1.4,2.6
BRANDT,948,"36,613",12.4,"40,338.4",94.1,0.9,0.7,0.4,1.4,2.5
PERALTA,949,"36,585",12.4,"40,350.8",5.2,0.4,7.2,0.3,0.9,86.0
DONALDSON,950,"36,558",12.4,"40,363.2",72.1,22.1,0.5,0.4,2.4,2.5
STUART,951,"36,540",12.4,"40,375.6",84.0,9.9,0.7,0.6,1.8,3.0
FAULKNER,952,"36,466",12.4,"40,387.9",79.4,15.4,0.5,0.6,1.8,2.3
MAYNARD,953,"36,460",12.4,"40,400.3",87.5,7.0,0.5,0.7,1.7,2.7
GALINDO,954,"36,429",12.4,"40,412.6",5.9,0.2,0.8,0.3,0.3,92.7
COFFEY,955,"36,423",12.4,"40,425.0",88.4,6.7,0.5,0.7,1.7,1.9
ESTES,956,"36,318",12.3,"40,437.3",86.8,7.2,0.5,1.0,2.1,2.5
SANFORD,957,"36,312",12.3,"40,449.6",76.6,17.8,0.6,0.7,2.0,2.4
BURCH,958,"36,269",12.3,"40,461.9",78.8,15.4,0.5,0.8,2.2,2.4
MADDOX,959,"36,250",12.3,"40,474.2",69.8,25.2,0.4,0.5,1.9,2.2
VO,960,"36,236",12.3,"40,486.5",1.4,0.2,96.1,0.0,1.7,0.6
OCONNELL,961,"36,194",12.3,"40,498.8",95.4,0.3,0.6,0.2,1.3,2.2
VU,962,"36,179",12.3,"40,511.0",1.0,(S),96.6,(S),1.7,0.6
ANDERSEN,963,"36,150",12.3,"40,523.3",94.0,0.8,0.7,0.4,1.5,2.6
SPENCE,964,"36,129",12.3,"40,535.5",72.2,21.7,0.6,0.6,2.1,2.7
MCPHERSON,965,"36,125",12.3,"40,547.8",73.4,20.7,0.6,0.6,2.3,2.5
CHURCH,966,"36,072",12.2,"40,560.0",89.2,5.8,0.5,0.8,1.6,2.2
SCHMITT,967,"36,043",12.2,"40,572.2",95.7,0.2,0.6,0.4,1.2,2.0
STANTON,968,"35,997",12.2,"40,584.4",82.9,11.6,0.7,0.6,1.9,2.4
LEAL,969,"35,958",12.2,"40,596.6",13.0,0.5,1.0,0.2,0.4,84.9
CHERRY,970,"35,877",12.2,"40,608.8",59.0,35.5,0.7,0.4,2.5,2.0
COMPTON,971,"35,830",12.2,"40,620.9",87.3,7.8,0.5,0.7,1.7,2.0
DUDLEY,972,"35,781",12.1,"40,633.0",66.0,27.7,0.5,0.7,2.5,2.6
SIERRA,973,"35,770",12.1,"40,645.2",7.2,0.7,0.6,0.5,0.3,90.6
POLLARD,974,"35,749",12.1,"40,657.3",62.8,31.4,0.6,0.6,2.4,2.3
ALFARO,975,"35,725",12.1,"40,669.4",4.9,0.3,1.3,0.1,0.2,93.3
HESTER,976,"35,642",12.1,"40,681.5",73.1,21.9,0.5,0.5,2.2,1.8
PROCTOR,977,"35,636",12.1,"40,693.6",70.1,21.6,0.5,2.4,3.1,2.3
LU,978,"35,628",12.1,"40,705.6",1.8,0.4,95.7,0.0,1.4,0.7
HINTON,979,"35,606",12.1,"40,717.7",53.2,40.6,0.4,1.2,2.6,2.1
NOVAK,980,"35,461",12.0,"40,729.7",95.5,0.3,0.7,0.2,1.1,2.2
GOOD,981,"35,446",12.0,"40,741.8",88.9,5.5,1.2,0.4,1.6,2.4
MADDEN,982,"35,438",12.0,"40,753.8",84.5,10.5,0.7,0.5,1.8,2.1
MCCANN,983,"35,408",12.0,"40,765.8",89.7,5.5,0.7,0.4,1.6,2.2
TERRELL,983,"35,408",12.0,"40,777.8",55.3,39.0,0.4,0.8,2.4,2.2
JARVIS,985,"35,350",12.0,"40,789.8",84.9,9.3,0.6,0.6,2.0,2.8
DICKSON,986,"35,312",12.0,"40,801.7",75.8,16.9,0.7,1.4,2.2,3.1
REYNA,987,"35,291",12.0,"40,813.7",6.2,0.3,0.5,0.5,0.2,92.4
CANTRELL,988,"35,266",12.0,"40,825.6",89.7,4.7,0.5,1.2,1.9,2.1
MAYO,989,"35,228",11.9,"40,837.6",63.3,22.2,2.1,0.9,2.5,9.1
BRANCH,990,"35,225",11.9,"40,849.5",47.4,45.9,0.5,0.6,2.6,3.0
HENDRIX,991,"35,194",11.9,"40,861.5",78.0,16.2,0.5,0.7,2.2,2.4
ROLLINS,992,"35,132",11.9,"40,873.4",68.3,26.0,0.4,0.5,2.4,2.5
ROWLAND,993,"35,121",11.9,"40,885.3",86.6,7.4,0.6,1.0,1.9,2.5
WHITNEY,994,"35,118",11.9,"40,897.2",85.4,8.5,0.8,0.8,2.0,2.5
DUKE,995,"35,053",11.9,"40,909.1",85.5,8.1,0.6,0.6,2.0,3.3
ODOM,996,"35,020",11.9,"40,920.9",69.0,25.9,0.5,0.6,2.0,2.1
DAUGHERTY,997,"34,987",11.9,"40,932.8",90.0,4.5,0.5,1.1,1.9,2.0
TRAVIS,998,"34,985",11.9,"40,944.7",73.3,21.0,0.5,0.5,2.2,2.4
TANG,999,"34,961",11.9,"40,956.5",2.6,0.6,93.3,0.1,2.1,1.3
ARCHER,"1,000","34,949",11.9,"40,968.4",79.5,14.0,0.6,0.7,2.0,3.1
,,,,,,,,,,
"Source: U.S. Census Bureau, 2010 Census.",,,,,,,,,,
Note: Fields suppressed for confidentiality are assigned the value (S).,,,,,,,,,,